                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.68598,                0.96436,                0.85512,                0.60698,                      1,                0.95354,                0.74681,                 0.7218,                 0.8489,                0.90647,             0.00057131,             0.00057131,             0.00057131
                     88,                0.71309,                0.95403,                0.90138,                0.59629,                      1,                  0.995,                0.78479,                0.68897,                 0.7788,                 0.9086,             0.00057112,             0.00057112,             0.00057112
                     89,                0.72181,                 1.0437,                0.88672,                0.59629,                      1,                  0.995,                0.78479,                0.68897,                 0.7788,                 0.9086,             0.00057092,             0.00057092,             0.00057092
                     90,                0.70927,                0.96097,                0.86989,                0.65532,                      1,                  0.995,                0.79073,                0.71063,                0.77366,                 0.9125,             0.00057073,             0.00057073,             0.00057073
                     91,                0.68966,                0.91957,                 0.8458,                0.65532,                      1,                  0.995,                0.79073,                0.71063,                0.77366,                 0.9125,             0.00057054,             0.00057054,             0.00057054
                     92,                0.72947,                 1.0049,                0.86163,                0.74733,                0.91667,                  0.995,                0.76798,                0.82014,                0.78743,                0.91891,             0.00057034,             0.00057034,             0.00057034
                     93,                0.71199,                0.92779,                0.86355,                0.74733,                0.91667,                  0.995,                0.76798,                0.82014,                0.78743,                0.91891,             0.00057015,             0.00057015,             0.00057015
                     94,                0.70904,                0.92562,                0.85599,                0.72639,                0.91667,                  0.995,                0.76925,                 0.8397,                0.80869,                0.92266,             0.00056995,             0.00056995,             0.00056995
                     95,                0.69958,                0.90967,                0.87132,                0.72639,                0.91667,                  0.995,                0.76925,                 0.8397,                0.80869,                0.92266,             0.00056976,             0.00056976,             0.00056976
                     96,                0.72375,                0.92503,                0.85816,                0.70609,                      1,                  0.995,                0.79216,                0.75301,                0.75798,                0.91266,             0.00056957,             0.00056957,             0.00056957
                     97,                0.66026,                0.84021,                0.85174,                0.70609,                      1,                  0.995,                0.79216,                0.75301,                0.75798,                0.91266,             0.00056937,             0.00056937,             0.00056937
                     98,                0.62691,                0.90369,                0.85889,                0.84523,                0.91667,                  0.995,                0.78563,                0.70747,                 0.7084,                0.90839,             0.00056918,             0.00056918,             0.00056918
                     99,                0.61859,                0.88534,                0.83514,                0.84523,                0.91667,                  0.995,                0.78563,                0.70747,                 0.7084,                0.90839,             0.00056898,             0.00056898,             0.00056898
                    100,                0.69611,                 0.8423,                0.84355,                0.91056,                0.91667,                  0.995,                0.75712,                 0.7573,                0.71017,                 0.9123,             0.00056879,             0.00056879,             0.00056879
                    101,                0.68979,                0.89763,                0.85314,                0.91056,                0.91667,                  0.995,                0.75712,                 0.7573,                0.71017,                 0.9123,              0.0005686,              0.0005686,              0.0005686
